,lr_rate_list,train_loss_list,valid_loss_list,dice_score_list
0,[0.005],0.8210440299162463,0.5706646895148063,0.49461445224578265
1,[0.005],0.5425427213685403,0.4858068936183804,0.5610150799073809
2,[0.005],0.49506258139361586,0.48684380614692396,0.559664990244016
3,[0.005],0.46763890716849954,0.4687626355332755,0.5781678348942533
4,[0.005],0.45416224367451224,0.40231769397610523,0.6402904767482007
5,[0.005],0.413182696563846,0.8322223363026895,0.3425132458001538
6,[0.005],0.42883650211081226,0.4740530827332064,0.5783890643732144
7,[0.005],0.39781557573323395,0.4452703326451974,0.608661981391125
8,[0.001],0.34919653613185087,0.33755900006476647,0.6986649679681642
9,[0.001],0.33306102745393285,0.32669691529756034,0.7053705857751148
10,[0.001],0.32244110512334306,0.3265480347018424,0.7086154535168507
11,[0.001],0.31183762636325935,0.3411671101558404,0.6931775016048567
12,[0.001],0.2953217632142636,0.32031366571051173,0.7155485081542385
13,[0.001],0.3077716023132867,0.3112551151403313,0.7191812293451341
14,[0.001],0.29145966050936495,0.3133946633566924,0.7230189001299644
15,[0.001],0.2832132098333957,0.3227100633695477,0.7104831043162633
16,[0.001],0.2790708068448808,0.29441347913663896,0.7326096472192983
17,[0.001],0.2780611326022065,0.323438978911749,0.7116176487643862
18,[0.001],0.27467030933497416,0.2943576602010779,0.7363735030257637
19,[0.001],0.2711211761695987,0.27129945167101144,0.7543226338800837
20,[0.001],0.2675324135531323,0.2937530380943434,0.7402267416969674
21,[0.001],0.2639465785110987,0.28749299147089974,0.7411187024064403
22,[0.001],0.25663568460396313,0.272159986238662,0.7553659703562169
23,[0.0002],0.23526378516143778,0.26277848899038764,0.7635594622684958
24,[0.0002],0.23849324341827413,0.2600263940994857,0.7678688810171326
25,[0.0002],0.23548557853514504,0.25392480894841785,0.7677865148893471
26,[0.0002],0.23005749272747494,0.2697082866247886,0.7548931384347176
27,[0.0002],0.2306389483189629,0.25297975084169316,0.7718974241142065
28,[0.0002],0.22318043097786494,0.2531614027550963,0.7748069551473107
29,[0.0002],0.22275659351754173,0.24175977975618643,0.7823986814973133
30,[0.0002],0.22303174089709943,0.25362500507649177,0.7720285263217863
31,[0.0002],0.2269245501360583,0.24890221321517653,0.7776141821360979
32,[0.0002],0.21946988985450974,0.24831592784227569,0.7767759086004372
33,[4e-05],0.2197758650403597,0.25085830476766074,0.7734452919230435
34,[4e-05],0.21348584726865416,0.24968364256652978,0.7765843076784102
35,[4e-05],0.2191402225899681,0.23571910444504576,0.7881828256643535
36,[4e-05],0.21331524029518048,0.23506128771708962,0.7887590296281491
37,[4e-05],0.21856246761022963,0.2583914367390461,0.7721873456663121
38,[4e-05],0.2145602648594421,0.24730664410226333,0.7750050865235876
39,[4e-05],0.21589795318213265,0.2515587835201149,0.7728028072685492
40,[8.000000000000001e-06],0.2103053678525162,0.2412393235606574,0.7827227881045941
41,[8.000000000000001e-06],0.21519793484645433,0.25728388627370197,0.76520112466291
42,[8.000000000000001e-06],0.21395287623884443,0.24482726228367435,0.7797022882055064
43,[8.000000000000001e-06],0.21296486197098255,0.24348845035651995,0.7782599072638756
44,[8.000000000000001e-06],0.21358062632991204,0.24952703543373797,0.7747929252561976
45,[1.6000000000000004e-06],0.21532177249616144,0.23678742821425036,0.7859483755351416
46,[1.6000000000000004e-06],0.20876679718686317,0.2544794549218944,0.7703400788411416
47,[1.6000000000000004e-06],0.21565189525840056,0.24763154397245313,0.7796352593625178
48,[1.6000000000000004e-06],0.21314441248131658,0.24836972103418548,0.7781322826453245
49,[1.6000000000000004e-06],0.21768412922784275,0.24255872953459212,0.7813286419774665
50,[3.200000000000001e-07],0.21695349645169412,0.24163900706611696,0.7805442875200282
51,[3.200000000000001e-07],0.21400514632674547,0.25022087005969607,0.7767589724129015
52,[3.200000000000001e-07],0.2072191638902012,0.25208791235431294,0.7708319875060535
53,[3.200000000000001e-07],0.21274949858745912,0.23431082485152072,0.7875839279649036
54,[3.200000000000001e-07],0.21464028722304954,0.23677683796713261,0.7861330219305278
55,[3.200000000000001e-07],0.20989338810875274,0.24456527878026493,0.7801506219665861
56,[3.200000000000001e-07],0.21295464198127226,0.24295281508906943,0.7805093337929314
57,[6.400000000000003e-08],0.21076080452528448,0.2389985602247259,0.785267038423507
58,[6.400000000000003e-08],0.21496832679719674,0.24212407194525817,0.7814475382612052
59,[6.400000000000003e-08],0.21647173677692855,0.24605196706258534,0.77839979382812
60,[6.400000000000003e-08],0.21152102043378454,0.2483554302506108,0.7767226998923255
61,[6.400000000000003e-08],0.21840812792642916,0.24130513987254576,0.7799684310871395
62,[1.2800000000000007e-08],0.21652693757685398,0.24966541551501373,0.7745280229980177
